Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg2_n,2,1,0.368598306,0.480831031,0.041016266,1,3.240415516,55.72161166,12,33,106,115
mg2_n,7,1,0.271491716,0.955725507,0.026925165,1,3.477862754,41.50965814,12,33,106,115
mg2_n,5,1,0.67855287,0.754005075,0.062924108,1,3.377002537,54.08386008,12,33,106,115
mg2_n,9,1,0.113036451,1.540035422,0.03082166,1,3.770017711,90.77214072,12,33,106,115
mg2_n,11,1,0.294100054,2.236417187,0.027990966,1,4.118208593,73.9399208,12,33,106,115
mg2_n,12,1,0.226220613,2.303140251,0.02414937,1,4.151570125,139.7325975,12,33,106,115
mg2_n,13,1,0.202259667,2.464567129,0.020684268,1,4.232283564,54.95223413,12,33,106,115
mg2_n,17,1,0.10028949,3.215490362,0.037924833,1,4.607745181,74.69268872,12,33,106,115
mg2_n,19,1,0.164310175,3.406561005,0.023655096,1,4.703280502,163.5437372,12,33,106,115
mg2_n,20,1,0.135140306,3.503421367,0.023305437,1,4.751710683,61.38546237,12,33,106,115
mg2_n,10,1,2.714034882,1.85290592,0.030266897,1,3.92645296,91.28238621,12,33,106,115
mg2_n,21,1,0.659648663,3.844822418,0.030845276,1,4.922411209,110.6106583,12,33,106,115
mg2_n,8,1,4.123796736,1.148683569,0.043318795,1,3.574341785,122.3782459,12,33,106,115
mg2_n,3,1,5.807026882,0.558097478,0.041254036,1,3.279048739,30.33152389,12,33,106,115
mg2_n,22,1,0.234948867,6.632467296,0.022901872,1,6.316233648,15.12944311,12,33,106,115
mg2_n,23,3,0.547785717,0.067649411,0.027902306,2,6.312873444,65.53787153,12,33,106,115
mg2_n,26,1,0.251081563,7.466408318,0.021567984,1,6.733204159,41.16946985,12,33,106,115
mg2_n,14,1,5.678700575,2.561833056,0.037553523,1,4.280916528,25.61055583,12,33,106,115
mg2_n,16,1,5.334521401,3.06403116,0.042368823,1,4.53201558,146.8684005,12,33,106,115
mg2_n,27,3,0.742614217,1.545116782,0.041697802,2,7.05160713,171.2181516,12,33,106,115
mg2_n,28,3,0.468054857,2.006818718,0.029295129,2,7.282458098,179.785385,12,33,106,115
mg2_n,29,3,0.508844687,2.260949638,0.034701273,2,7.409523558,6.082424814,12,33,106,115
mg2_n,33,1,0.32259549,9.633307441,0.029516002,1,7.81665372,17.26325983,12,33,106,115
mg2_n,32,15,0.950516775,0.402671921,0.034940504,2,7.679599504,1.20253469,12,33,106,115
mg2_n,36,16,1.07032044,1.275527112,0.031171473,2,8.169779136,175.6474709,12,33,106,115
mg2_n,37,1,0.107261075,11.29309282,0.028362528,1,8.64654641,85.99653364,12,33,106,115
mg2_n,15,1,8.827571456,2.956527087,0.045852092,1,4.478263544,64.85147581,12,33,106,115
mg2_n,38,1,0.098506096,12.19579889,0.036203387,1,9.097899446,129.2235216,12,33,106,115
mg2_n,41,27,0.190187404,0.347816134,0.029829859,3,10.2255152,173.2901632,12,33,106,115
mg2_n,42,1,0.112254042,14.64543092,0.026202611,1,10.32271546,67.80628045,12,33,106,115
mg2_n,1,0,22.71215076,0,0.061114691,0,0,NaN,12,33,106,115
mg2_n,43,28,2.603328305,0.183954326,0.037648967,3,10.37443526,163.4558345,12,33,106,115
mg2_n,44,36,1.355307158,0.093289845,0.023954553,3,11.21642406,17.33009469,12,33,106,115
mg2_n ave,NaN,NaN,2.059850233,3.239314988,0.033571744,1.333333333,5.881182295,84.76267492,12,33,106,115
mg1_n,1,0,4.192701689,0,0.108666174,0,0,NaN,16,31,95,110
mg1_n,5,1,0.60345738,2.234567462,0.086832212,1,4.117283731,113.7031131,16,31,95,110
mg1_n,7,1,0.520826259,2.461377872,0.034563494,1,4.230688936,44.76885026,16,31,95,110
mg1_n,12,1,0.092248493,3.406065185,0.084943536,1,4.703032592,128.2573349,16,31,95,110
mg1_n,6,1,1.345157125,2.402008707,0.042463596,1,4.201004354,122.2899766,16,31,95,110
mg1_n,15,1,0.107148213,4.030895079,0.066607296,1,5.01544754,83.93944921,16,31,95,110
mg1_n,9,1,4.066726524,2.57351622,0.057158669,1,4.28675811,160.9061568,16,31,95,110
mg1_n,16,3,0.278913628,0.022130014,0.031940479,2,6.981217218,146.1428899,16,31,95,110
mg1_n,23,4,0.154860373,0.569176734,0.033180013,2,7.32251778,140.3524267,16,31,95,110
mg1_n,27,4,0.123420744,1.090165073,0.028804929,2,7.583011949,71.91182705,16,31,95,110
mg1_n,26,4,0.654035394,0.809519155,0.042454252,2,7.44268899,141.7068223,16,31,95,110
mg1_n,28,4,0.310646887,1.136817708,0.032728062,2,7.606338266,165.7907798,16,31,95,110
mg1_n,32,11,0.115845963,0.180046428,0.02950964,2,7.712498162,164.0424663,16,31,95,110
mg1_n,29,10,0.366764035,0.457080679,0.03146606,2,7.660375204,149.9076752,16,31,95,110
mg1_n,33,11,0.430979894,0.22835881,0.033632904,2,7.736654353,11.88618005,16,31,95,110
mg1_n,38,11,0.193474805,0.633452372,0.037911504,2,7.939201134,9.039283984,16,31,95,110
mg1_n,40,13,0.108457828,0.555338397,0.034909287,2,8.030368926,164.2257707,16,31,95,110
mg1_n,42,11,0.181362344,0.947758224,0.038280477,2,8.09635406,7.315672069,16,31,95,110
mg1_n,41,13,0.375763243,0.615457578,0.038039915,2,8.060428517,60.85843009,16,31,95,110
mg1_n,46,11,0.119709586,1.219657988,0.031999988,2,8.232303942,79.39370958,16,31,95,110
mg1_n,47,4,0.061516006,2.476963577,0.034469137,2,8.276411201,89.76116809,16,31,95,110
mg1_n,48,4,0.152071004,2.599182333,0.040116128,2,8.337520579,153.8921355,16,31,95,110
mg1_n,49,14,0.104829383,0.96103084,0.025676311,2,8.455204789,149.8931719,16,31,95,110
mg1_n,11,1,9.22714528,3.244949897,0.054934738,1,4.622474948,143.1417636,16,31,95,110
mg1_n,14,1,8.556518369,3.949378737,0.049645268,1,4.974689369,175.9917029,16,31,95,110
mg1_n,2,1,11.12849613,1.884931093,0.056367047,1,3.942465547,134.0054467,16,31,95,110
mg1_n,13,1,9.874155486,3.505399456,0.051348213,1,4.752699728,144.9639194,16,31,95,110
mg1_n,3,1,13.39368711,1.940304422,0.062748338,1,3.970152211,7.265980271,16,31,95,110
mg1_n,10,1,12.69537591,2.863669729,0.060351857,1,4.431834864,172.0683556,16,31,95,110
