Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,
mg2_p,2,1,0.240792841,0.216184183,0.12311172,1,3.108092092,125.5027875,14,36,92,107,
mg2_p,3,1,0.193636639,0.326374169,0.055321705,1,3.163187084,28.85173403,14,36,92,107,
mg2_p,4,1,0.071445703,0.483346229,0.036431374,1,3.241673115,148.9055946,14,36,92,107,
mg2_p,6,1,0.463192628,1.158377012,0.035191576,1,3.579188506,33.63218544,14,36,92,107,
mg2_p,7,1,0.11906964,1.530581743,0.040479535,1,3.765290871,138.5376269,14,36,92,107,
mg2_p,10,1,0.138047779,2.164684012,0.041456848,1,4.082342006,20.39263447,14,36,92,107,
mg2_p,13,1,0.054566629,2.427966734,0.059923187,1,4.213983367,146.0901559,14,36,92,107,
mg2_p,11,1,0.358529853,2.228150063,0.071808278,1,4.114075031,134.7178018,14,36,92,107,
mg2_p,12,1,0.316434726,2.339711023,0.083751586,1,4.169855512,167.0196894,14,36,92,107,
mg2_p,16,1,0.108677582,2.880934748,0.026479642,1,4.440467374,52.22326165,14,36,92,107,
mg2_p,17,1,0.170852648,5.155622567,0.026988295,1,5.577811284,66.18273939,14,36,92,107,
mg2_p,18,1,0.098694275,5.522074949,0.029649535,1,5.761037474,89.07206863,14,36,92,107,
mg2_p,8,1,4.469928363,1.937312008,0.041933832,1,3.968656004,33.78448515,14,36,92,107,
mg2_p,19,2,0.144983446,0.051651532,0.050691402,2,6.133917857,100.0182217,14,36,92,107,
mg2_p,21,1,0.106509068,7.040393923,0.029490486,1,6.520196961,85.8912925,14,36,92,107,
mg2_p,22,1,0.048342541,7.203442285,0.039533811,1,6.601721143,98.53076561,14,36,92,107,
mg2_p,23,5,0.193587887,0.20408011,0.03203939,2,6.606123152,121.1824821,14,36,92,107,
mg2_p,20,1,1.519957317,6.491501314,0.043506297,1,6.245750657,5.260920554,14,36,92,107,
mg2_p,32,11,0.099263965,0.065152432,0.039632805,2,7.146651247,90.59836759,14,36,92,107,
mg2_p,27,1,1.160332069,7.39047184,0.04065553,1,6.69523592,54.9740352,14,36,92,107,
mg2_p,14,1,6.121692753,2.555548351,0.043320758,1,4.277774175,55.86992358,14,36,92,107,
