Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,Size,Treatment
mg2_p_ave,NaN,NaN,2.175231651,3.720022696,0.046861355,1.222222222,5.71807209,81.27423902,14,36,92,107,199,Phosphate
mg1_p_ave,NaN,NaN,2.48077574,3.790471573,0.044171114,1.474576271,6.705751635,69.42274958,10.5,60,193,241,434,Phosphate
mg3_p _ave,NaN,NaN,2.033712149,3.979368341,0.051370756,2.163265306,12.08191403,91.20293823,14.5,49,128,137,265,Phosphate
mg4_p_ave,NaN,NaN,2.367541052,2.382128198,0.050887111,1.037037037,4.333548395,59.10207811,12,29,95,120,215,Phosphate
mg5_p_ave,NaN,NaN,1.02279065,3.747601779,0.024326064,1.803030303,9.565318807,67.54379693,6.3,66,175,207,382,Phosphate
mg6_p_ave,NaN,NaN,1.693233329,7.377613721,0.039894336,1.384615385,9.094978956,70.36392336,14,65,160,184,344,Phosphate
mg7_p_ave,NaN,NaN,1.608467286,6.915258019,0.038635955,2.297297297,14.63194336,86.49659401,13.5,37,124,131,255,Phosphate
mg8_p_ave,NaN,NaN,1.598092419,6.708669563,0.042942709,1.183333333,7.661367447,72.09923782,8.5,60,153,177,330,Phosphate
mg2_n_ave,NaN,NaN,2.059850233,3.239314988,0.033571744,1.333333333,5.881182295,84.76267492,12,33,106,115,221,No Phosphate
mg1_n ave,NaN,NaN,3.136373579,1.968016938,0.04674726,1.516129032,6.282716744,111.12719,16,31,95,110,205,No Phosphate
mg3_n_ave,NaN,NaN,4.009623955,2.819954962,0.05551713,1.677419355,6.830059137,79.0756978,17,31,111,135,246,No Phosphate
mg4_n_ave,NaN,NaN,2.257715712,4.989358249,0.048680746,2.815789474,14.82520679,102.7263889,12.5,38,103,111,214,No Phosphate
mg5_n_ave,NaN,NaN,1.627086412,10.89384779,0.040794482,2.105263158,13.50636602,90.62504415,12.4,38,93,97,190,No Phosphate
mg6_n_ave,NaN,NaN,3.948285094,5.828917621,0.047541607,1.666666667,11.23094205,74.63427181,26,27,83,92,175,No Phosphate
mg7_n_ave,NaN,NaN,2.125258181,3.67174436,0.038939195,1.09375,5.316471862,80.0406673,10,33,90,96,186,No Phosphate
