Length (cm),Treatment
0.24079284,Phosphate
0.19363664,Phosphate
0.0714457,Phosphate
0.46319263,Phosphate
0.11906964,Phosphate
0.13804778,Phosphate
0.05456663,Phosphate
0.35852985,Phosphate
0.31643473,Phosphate
0.10867758,Phosphate
0.17085265,Phosphate
0.09869428,Phosphate
4.46992836,Phosphate
0.14498345,Phosphate
0.10650907,Phosphate
0.04834254,Phosphate
0.19358789,Phosphate
1.51995732,Phosphate
0.09926396,Phosphate
1.16033207,Phosphate
6.12169275,Phosphate
6.43317856,Phosphate
0.27118436,Phosphate
0.1269795,Phosphate
2.47098052,Phosphate
9.16705325,Phosphate
0.20511707,Phosphate
0.13957494,Phosphate
16.7510818,Phosphate
0.11956598,Phosphate
0.11584961,Phosphate
10.6993457,Phosphate
5.59729819,Phosphate
0.38244234,Phosphate
0.21562294,Phosphate
9.41452635,Phosphate
2.17523165,Phosphate
0.13073407,Phosphate
0.22141252,Phosphate
1.08835306,Phosphate
0.21216054,Phosphate
0.68638641,Phosphate
0.40238682,Phosphate
0.42503108,Phosphate
0.19699968,Phosphate
0.25784862,Phosphate
1.76636652,Phosphate
0.11569798,Phosphate
4.23693106,Phosphate
4.90016691,Phosphate
0.12800315,Phosphate
4.33388733,Phosphate
5.76259527,Phosphate
0.20372753,Phosphate
0.3070388,Phosphate
3.86968868,Phosphate
0.84692951,Phosphate
2.04786219,Phosphate
0.36261045,Phosphate
0.0903271,Phosphate
1.16129962,Phosphate
0.17266305,Phosphate
1.76357034,Phosphate
2.2611689,Phosphate
0.11499095,Phosphate
0.24747972,Phosphate
0.42688069,Phosphate
0.15184361,Phosphate
0.80273661,Phosphate
0.36189756,Phosphate
0.60684919,Phosphate
0.96787683,Phosphate
5.8685975,Phosphate
10.2515513,Phosphate
7.63775697,Phosphate
0.2246977,Phosphate
0.16229229,Phosphate
11.0580869,Phosphate
0.23971243,Phosphate
2.74163221,Phosphate
1.87982904,Phosphate
1.81410047,Phosphate
0.3113104,Phosphate
3.51082908,Phosphate
4.94566194,Phosphate
2.37415057,Phosphate
19.3583417,Phosphate
1.83045483,Phosphate
0.19752706,Phosphate
0.06700863,Phosphate
2.73090008,Phosphate
13.5934091,Phosphate
3.48765884,Phosphate
2.23671388,Phosphate
2.22997291,Phosphate
5.89099932,Phosphate
0.22090513,Phosphate
2.48077574,Phosphate
8.32153937,Phosphate
0.12376888,Phosphate
0.11547821,Phosphate
0.11085346,Phosphate
6.11820991,Phosphate
5.57437252,Phosphate
0.43877608,Phosphate
0.61156991,Phosphate
1.40777524,Phosphate
0.64246521,Phosphate
0.1588193,Phosphate
0.32040501,Phosphate
0.95188112,Phosphate
8.16344992,Phosphate
0.30371794,Phosphate
0.17780799,Phosphate
0.13363386,Phosphate
9.17950656,Phosphate
0.14874968,Phosphate
0.22092505,Phosphate
1.7772556,Phosphate
1.51763268,Phosphate
0.10090999,Phosphate
3.55049632,Phosphate
0.7290759,Phosphate
2.78281094,Phosphate
2.15691774,Phosphate
3.09338469,Phosphate
4.74990514,Phosphate
1.50673854,Phosphate
0.07942562,Phosphate
0.12148949,Phosphate
0.36480653,Phosphate
0.99362464,Phosphate
0.14172223,Phosphate
0.0913785,Phosphate
7.09298009,Phosphate
0.07942564,Phosphate
0.10325453,Phosphate
5.82854309,Phosphate
0.19163621,Phosphate
0.21271392,Phosphate
0.3220275,Phosphate
0.37651962,Phosphate
0.08267313,Phosphate
0.44235702,Phosphate
0.16667331,Phosphate
17.4752764,Phosphate
0.29653506,Phosphate
2.03371215,Phosphate
0.08354312,Phosphate
0.10697213,Phosphate
0.15834291,Phosphate
0.48753935,Phosphate
0.044979,Phosphate
0.74896382,Phosphate
0.20791695,Phosphate
0.2768582,Phosphate
0.79406987,Phosphate
0.31982664,Phosphate
1.9229405,Phosphate
2.12904843,Phosphate
1.28962189,Phosphate
10.1034713,Phosphate
0.78105536,Phosphate
4.91909978,Phosphate
0.27210565,Phosphate
0.3357158,Phosphate
5.8274973,Phosphate
0.50095302,Phosphate
7.44547056,Phosphate
0.21006524,Phosphate
8.55693638,Phosphate
1.51498071,Phosphate
8.30024596,Phosphate
0.19845224,Phosphate
6.38693632,Phosphate
2.36754105,Phosphate
6.85572925,Phosphate
0.11612748,Phosphate
0.13446965,Phosphate
0.03373318,Phosphate
0.31639558,Phosphate
0.67269939,Phosphate
0.12268457,Phosphate
0.81933594,Phosphate
0.40067964,Phosphate
1.06888075,Phosphate
3.91885649,Phosphate
0.07451034,Phosphate
0.04541787,Phosphate
6.31227733,Phosphate
0.07305309,Phosphate
5.56151889,Phosphate
0.13563388,Phosphate
0.07353251,Phosphate
6.74519219,Phosphate
0.12547158,Phosphate
0.08143752,Phosphate
0.09803597,Phosphate
1.00785142,Phosphate
0.08474142,Phosphate
0.21361944,Phosphate
0.10273252,Phosphate
0.10922998,Phosphate
0.1811991,Phosphate
0.13562551,Phosphate
0.34555746,Phosphate
0.19418028,Phosphate
0.10511577,Phosphate
0.13339835,Phosphate
0.33902771,Phosphate
0.17958231,Phosphate
0.10930892,Phosphate
0.07003852,Phosphate
0.26895666,Phosphate
1.44475284,Phosphate
0.17084746,Phosphate
0.06534168,Phosphate
2.03537257,Phosphate
1.66831689,Phosphate
0.72645616,Phosphate
0.17374252,Phosphate
0.05009884,Phosphate
1.75227307,Phosphate
0.57253094,Phosphate
2.09947856,Phosphate
0.39416888,Phosphate
1.97421109,Phosphate
0.92949329,Phosphate
0.13552703,Phosphate
0.40030396,Phosphate
0.03872128,Phosphate
0.03604056,Phosphate
0.65869671,Phosphate
13.6870784,Phosphate
0.07924353,Phosphate
0.11691232,Phosphate
0.0489601,Phosphate
0.23150453,Phosphate
0.38791638,Phosphate
0.11869985,Phosphate
0.1163204,Phosphate
0.02533455,Phosphate
1.02279065,Phosphate
0.16933658,Phosphate
1.07890729,Phosphate
0.77134411,Phosphate
0.2294879,Phosphate
0.06974643,Phosphate
0.12458166,Phosphate
0.10695791,Phosphate
0.20082438,Phosphate
0.09068117,Phosphate
0.40733534,Phosphate
0.15048232,Phosphate
0.29172711,Phosphate
0.26014882,Phosphate
0.10257313,Phosphate
0.15780097,Phosphate
0.11503797,Phosphate
0.2682961,Phosphate
0.23382269,Phosphate
0.13744788,Phosphate
0.05153424,Phosphate
0.40242106,Phosphate
0.30182782,Phosphate
0.72500752,Phosphate
0.13112386,Phosphate
0.76623503,Phosphate
0.14144917,Phosphate
0.59220456,Phosphate
0.08489262,Phosphate
0.15990298,Phosphate
0.56487927,Phosphate
0.27579149,Phosphate
0.62137022,Phosphate
3.08128905,Phosphate
0.10957756,Phosphate
0.08205803,Phosphate
4.31901434,Phosphate
0.09076858,Phosphate
0.39122194,Phosphate
3.51888244,Phosphate
9.75595683,Phosphate
1.09168657,Phosphate
7.70383302,Phosphate
3.88477478,Phosphate
0.51860138,Phosphate
0.17936296,Phosphate
0.3470229,Phosphate
0.10874918,Phosphate
22.0742327,Phosphate
0.38298954,Phosphate
0.05118006,Phosphate
3.43877108,Phosphate
10.8458239,Phosphate
8.50553758,Phosphate
5.09059437,Phosphate
2.73090854,Phosphate
0.10619787,Phosphate
0.43353342,Phosphate
0.11684225,Phosphate
0.13397101,Phosphate
0.32694876,Phosphate
0.09971699,Phosphate
0.16504594,Phosphate
0.1708478,Phosphate
10.1683528,Phosphate
0.25069261,Phosphate
1.69323333,Phosphate
0.21852496,Phosphate
0.57648192,Phosphate
8.42854274,Phosphate
0.11410827,Phosphate
0.25646572,Phosphate
0.2928727,Phosphate
